*g		ɤ
uu11	ʉ̀ʉ̀
uu13	ʉ᷅
uu2		ʉ́
uu22	ʉ́ʉ́
uu23	ʉ᷇
uu3		ʉ̄
uu32	ʉ᷄
uu33	ʉ̄ʉ̄
uu5		ʉ̂
uu7		ʉ̌
uuaf	ʉɑ
uuaf1	ʉ̀ɑ̀
uuaf2	ʉ́ɑ́
uuaf3	ʉ̄ɑ̄
uuaf5	ʉɑ̂
uuaf7	ʉɑ̌
_a		a̧
_e		ȩ
_ai		ɛ̧
_eu		ə̧
_i		i̧
_i-		ɨ̧
_o		o̧
_o*		ɔ̧
_u		u̧
,a		a̧
,e		ȩ
,ai		ɛ̧
,eu		ə̧
,i		i̧
,i-		ɨ̧
,o		o̧
,o*		ɔ̧
,u		u̧
